,tweet_text,emotion_in_tweet_is_directed_at,Sentiment,brand,processed_text,predicted_sentiment
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,0.0,Apple, g iphon   hr tweet riseaustin  dead  need upgrad  plugin station sxsw ,Negative
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,1.0,Apple,know  awesom ipad  iphon app youll like appreci design  also  theyr give free ts sxsw,Positive
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,1.0,Apple,wait ipad  also  sale sxsw ,Positive
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,0.0,Apple,hope year festiv isnt crashi year iphon app  sxsw,Negative
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,1.0,Google,great stuff fri sxsw  marissa mayer  googl   tim oreilli  tech book  confer   matt mullenweg  wordpress ,Positive
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,N/A,2.0,N/A,new ipad app speechtherapi commun showcas sxsw confer iear edchat asd,Neutral
6,N/A,N/A,2.0,N/A,n ,Unknown
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,1.0,Android,sxsw start  ctia around corner googleio hop skip jump  good time android fan,Positive
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,1.0,Apple,beauti smart simpl idea rt wrote hollergram ipad app sxsw ,Positive
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,1.0,Apple,count day sxsw plu strong canadian dollar mean stock appl gear,Positive
10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,1.0,Android,excit meet sxsw show sprint galaxi still run android   fail,Unknown
11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,1.0,Android,find  start impromptu parti sxsw cant wait til android app come ,Positive
12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,1.0,Android,foursquar up game  time sxsw   still prefer far  best look android app date ,Positive
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,1.0,Google,gotta love sxsw googl calendar featur top parti  show case check  rt via  ,Positive
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,1.0,Apple,great sxsw ipad app ,Positive
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,1.0,Apple,haha  awesom rad ipad app hollergram sxsw,Positive
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,N/A,2.0,N/A,holler gram ipad itun app store   via  sxsw,Positive
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,0.0,Apple,notic dst come weekend  mani iphon user hour late sxsw come sunday morn  sxsw iphon,Negative
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,1.0,Apple,ad sxsw flight  match peopl plane  airport  also download iphon app  nice done ,Positive
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,1.0,Apple,must sxsw app  rt  love review forb sxsw ipad app holler gram ,Positive
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,1.0,Apple,need buy ipad  im austin sxsw  sure ill need q austin appl store ,Positive
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,1.0,Apple,oh   god  sxsw app ipad pure  unadulter awesom  easier brows event ipad websit   ,Positive
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,1.0,Android,okay  realli  yay new android app     kthxbai  sxsw,Positive
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,1.0,Apple,photo  instal sxsw iphon app  realli nice ,Positive
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,1.0,Android,realli enjoy chang gowalla  android  look forward see els  foursquar sleev sxsw,Positive
